RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime,time_delta,time_delta_mins,time_diff,time_diff_mins
2017-08-01 07:51:49,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8368,40.810861,-73.95281899999998,W 125 ST/ST NICHOLAS AV,at stop,21.0,2017-08-01 07:52:03,07:49:06,,0,,0
2017-08-01 07:51:49,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8368,40.810861,-73.95281899999998,W 125 ST/ST NICHOLAS AV,at stop,21.0,2017-08-01 07:52:03,07:50:48,0 days 00:00:00.000000000,0,0 days 00:00:00.000000000,0
2017-08-01 07:51:49,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8368,40.810861,-73.95281899999998,W 125 ST/ST NICHOLAS AV,at stop,21.0,2017-08-01 07:52:03,07:51:39,0 days 00:00:00.000000000,0,0 days 00:00:00.000000000,0
2017-08-01 11:02:25,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8384,40.810907,-73.952928,W 125 ST/ST NICHOLAS AV,at stop,11.0,2017-08-01 11:02:42,11:04:39,0 days 03:10:39.000000000,191,0 days 03:10:39.000000000,191
2017-08-01 13:42:23,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8391,40.810881,-73.952865,W 125 ST/ST NICHOLAS AV,at stop,17.0,2017-08-01 13:43:07,13:35:20,0 days 02:40:25.000000000,161,0 days 02:40:25.000000000,161
2017-08-01 13:52:39,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4367,40.810888,-73.952883,W 125 ST/ST NICHOLAS AV,at stop,15.0,2017-08-01 13:52:55,13:48:20,0 days 00:09:48.000000000,10,0 days 00:09:48.000000000,10
2017-08-01 15:53:02,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8381,40.81092,-73.952957,W 125 ST/ST NICHOLAS AV,at stop,8.0,2017-08-01 15:53:07,15:51:11,0 days 02:00:12.000000000,121,0 days 02:00:12.000000000,121
2017-08-01 17:02:43,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8391,40.810825,-73.95273399999998,W 125 ST/ST NICHOLAS AV,at stop,29.0,2017-08-01 17:03:23,16:55:11,0 days 01:10:16.000000000,71,0 days 01:10:16.000000000,71
2017-08-01 17:22:52,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4393,40.810912,-73.95294,W 125 ST/ST NICHOLAS AV,at stop,9.0,2017-08-01 17:23:09,17:21:11,0 days 00:19:46.000000000,20,0 days 00:19:46.000000000,20
2017-08-01 17:32:54,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8389,40.810883,-73.952872,W 125 ST/ST NICHOLAS AV,at stop,16.0,2017-08-01 17:33:10,17:29:11,0 days 00:10:01.000000000,11,0 days 00:10:01.000000000,11
