RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime,time_diff,time_diff_mins
2017-06-07 16:25:07,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4335,40.810956,-73.95304300000001,W 125 ST/ST NICHOLAS AV,at stop,0.0,,16:23:11,,0
2017-06-07 19:14:31,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4350,40.810825,-73.952735,W 125 ST/ST NICHOLAS AV,at stop,29.0,2017-06-07 19:15:40,19:11:39,,0
2017-06-08 09:56:35,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8365,40.810899,-73.952908,W 125 ST/ST NICHOLAS AV,at stop,13.0,2017-06-08 09:56:43,09:54:39,0 days 14:41:03.000000000,882
2017-06-09 09:17:59,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4340,40.810883000000004,-73.95286999999999,W 125 ST/ST NICHOLAS AV,at stop,16.0,2017-06-09 09:18:17,09:16:39,0 days 23:21:34.000000000,1402
2017-06-09 15:07:37,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4398,40.810898,-73.952906,W 125 ST/ST NICHOLAS AV,at stop,13.0,2017-06-09 15:07:55,15:08:11,0 days 05:49:38.000000000,350
2017-06-09 15:38:24,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4342,40.810949,-73.953026,W 125 ST/ST NICHOLAS AV,at stop,1.0,2017-06-09 15:38:42,15:26:11,0 days 00:30:47.000000000,31
2017-06-09 18:28:32,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4398,40.810932,-73.952987,W 125 ST/ST NICHOLAS AV,at stop,5.0,2017-06-09 18:28:55,18:28:29,0 days 02:50:13.000000000,171
2017-06-09 20:48:14,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8394,40.810956,-73.95304300000001,W 125 ST/ST NICHOLAS AV,at stop,0.0,,20:48:15,,0
2017-06-10 07:19:19,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8385,40.810852000000004,-73.952799,W 125 ST/ST NICHOLAS AV,at stop,23.0,2017-06-10 07:19:27,07:18:52,,0
2017-06-10 10:39:45,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4353,40.810908000000005,-73.95293000000001,W 125 ST/ST NICHOLAS AV,at stop,10.0,2017-06-10 10:39:55,10:33:06,0 days 03:20:28.000000000,201
2017-06-10 11:19:38,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8390,40.810937,-73.952998,W 125 ST/ST NICHOLAS AV,at stop,4.0,2017-06-10 11:19:57,11:21:06,0 days 00:40:02.000000000,41
2017-06-11 21:01:56,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_5570,40.810945000000004,-73.953017,W 125 ST/ST NICHOLAS AV,at stop,2.0,2017-06-11 21:02:07,20:44:34,1 days 09:42:10.000000000,2023
2017-06-12 10:32:53,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4223,40.810883000000004,-73.95286999999999,W 125 ST/ST NICHOLAS AV,at stop,16.0,2017-06-12 10:33:04,10:34:39,0 days 13:30:57.000000000,811
2017-06-13 14:34:51,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4373,40.810905,-73.952923,W 125 ST/ST NICHOLAS AV,at stop,11.0,2017-06-13 14:34:58,14:37:11,1 days 04:01:54.000000000,1682
2017-06-13 18:35:01,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4136,40.810924,-73.952968,W 125 ST/ST NICHOLAS AV,at stop,7.0,2017-06-13 18:35:10,18:28:29,0 days 04:00:12.000000000,241
2017-06-13 21:15:03,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4136,40.810945000000004,-73.953017,W 125 ST/ST NICHOLAS AV,at stop,2.0,2017-06-13 21:15:21,21:13:34,0 days 02:40:11.000000000,161
2017-06-14 08:35:47,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4375,40.810913,-73.95294100000001,W 125 ST/ST NICHOLAS AV,at stop,9.0,2017-06-14 08:36:08,08:30:48,0 days 11:20:47.000000000,681
2017-06-14 09:34:55,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4386,40.810947999999996,-73.953024,W 125 ST/ST NICHOLAS AV,at stop,1.0,,09:30:39,,0
2017-06-14 15:15:33,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4348,40.810942,-73.953009,W 125 ST/ST NICHOLAS AV,at stop,3.0,2017-06-14 15:16:09,15:00:11,,0
2017-06-15 07:17:18,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4357,40.810913,-73.95294100000001,W 125 ST/ST NICHOLAS AV,at stop,9.0,,07:18:48,,0
2017-06-15 08:47:37,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8387,40.81087,-73.952839,W 125 ST/ST NICHOLAS AV,at stop,19.0,2017-06-15 08:47:50,08:45:48,,0
2017-06-15 09:07:03,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4340,40.810891,-73.952889,W 125 ST/ST NICHOLAS AV,at stop,14.0,2017-06-15 09:07:26,09:09:39,0 days 00:19:36.000000000,20
2017-06-15 09:47:38,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8376,40.810932,-73.952985,W 125 ST/ST NICHOLAS AV,at stop,5.0,2017-06-15 09:47:52,09:48:39,0 days 00:40:26.000000000,41
2017-06-16 07:28:15,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8397,40.810956,-73.95304300000001,W 125 ST/ST NICHOLAS AV,at stop,0.0,2017-06-16 07:28:18,07:28:48,0 days 21:40:26.000000000,1301
2017-06-16 13:28:57,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4421,40.810918,-73.952954,W 125 ST/ST NICHOLAS AV,at stop,8.0,2017-06-16 13:29:09,13:29:20,0 days 06:00:51.000000000,361
2017-06-16 14:59:18,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4403,40.810862,-73.95281999999999,W 125 ST/ST NICHOLAS AV,at stop,21.0,,14:53:11,,0
2017-06-16 20:29:12,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4396,40.810936,-73.952996,W 125 ST/ST NICHOLAS AV,at stop,4.0,2017-06-16 20:29:33,20:28:15,,0
2017-06-17 08:20:44,0.0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4363,40.810903,-73.95291800000001,W 125 ST/ST NICHOLAS AV,at stop,12.0,2017-06-17 08:21:04,08:16:24,0 days 11:51:31.000000000,712
