RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime,scheduled_time,expected_time,time_diff,time_diff_mins
2017-08-04 09:28:16,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4405,40.810334000000005,-73.951553,W 125 ST/FRED DOUGLASS BL,at stop,7.0,2017-08-04 09:28:37,09:15:26,09:15:26,09:28:37,0 days 00:13:11.000000000,14
2017-08-04 10:18:22,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4107,40.810334000000005,-73.951553,W 125 ST/FRED DOUGLASS BL,at stop,7.0,2017-08-04 10:18:41,10:13:26,10:13:26,10:18:41,0 days 00:05:15.000000000,6
2017-08-04 17:48:53,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4359,40.810274,-73.95140699999999,W 125 ST/FRED DOUGLASS BL,at stop,21.0,2017-08-04 17:49:15,17:49:14,17:49:14,17:49:15,0 days 00:00:01.000000000,1
2017-08-04 20:08:36,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4363,40.810320000000004,-73.95151800000001,W 125 ST/FRED DOUGLASS BL,at stop,10.0,2017-08-04 20:08:54,20:08:04,20:08:04,20:08:54,0 days 00:00:50.000000000,1
2017-08-05 12:00:26,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8381,40.810301,-73.951473,W 125 ST/FRED DOUGLASS BL,at stop,15.0,2017-08-05 12:00:38,11:56:04,11:56:04,12:00:38,0 days 00:04:34.000000000,5
2017-08-05 14:00:09,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8372,40.810313,-73.951502,W 125 ST/FRED DOUGLASS BL,at stop,12.0,2017-08-05 14:00:26,13:56:51,13:56:51,14:00:26,0 days 00:03:35.000000000,4
2017-08-05 19:30:49,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8385,40.810358,-73.95161,W 125 ST/FRED DOUGLASS BL,at stop,2.0,2017-08-05 19:31:12,19:30:51,19:30:51,19:31:12,0 days 00:00:21.000000000,1
2017-08-06 10:51:57,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4407,40.810287,-73.95144,W 125 ST/FRED DOUGLASS BL,at stop,18.0,2017-08-06 10:52:19,10:54:16,10:54:16,10:52:19,-1 days +23:58:03.000000000,-1
2017-08-06 18:02:28,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4405,40.810358,-73.95161,W 125 ST/FRED DOUGLASS BL,at stop,2.0,2017-08-06 18:02:52,17:46:51,17:46:51,18:02:52,0 days 00:16:01.000000000,17
2017-08-06 21:22:42,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4365,40.810266,-73.951389,W 125 ST/FRED DOUGLASS BL,at stop,23.0,2017-08-06 21:23:06,21:22:41,21:22:41,21:23:06,0 days 00:00:25.000000000,1
2017-08-07 08:33:40,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8394,40.810239,-73.951324,W 125 ST/FRED DOUGLASS BL,at stop,29.0,2017-08-07 08:33:55,08:29:39,08:29:39,08:33:55,0 days 00:04:16.000000000,5
2017-08-07 15:13:51,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4332,40.810367,-73.95163199999999,W 125 ST/FRED DOUGLASS BL,at stop,0.0,2017-08-07 15:13:58,15:15:49,15:15:49,15:13:58,-1 days +23:58:09.000000000,-1
2017-08-07 18:04:33,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4401,40.810280999999996,-73.951426,W 125 ST/FRED DOUGLASS BL,at stop,19.0,2017-08-07 18:04:43,17:57:14,17:57:14,18:04:43,0 days 00:07:29.000000000,8
2017-08-07 18:24:23,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4341,40.810367,-73.95163199999999,W 125 ST/FRED DOUGLASS BL,at stop,0.0,2017-08-07 18:24:41,18:27:14,18:27:14,18:24:41,-1 days +23:57:27.000000000,-2
2017-08-08 15:55:44,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4396,40.810331,-73.951545,W 125 ST/FRED DOUGLASS BL,at stop,8.0,2017-08-08 15:56:18,15:57:49,15:57:49,15:56:18,-1 days +23:58:29.000000000,-1
2017-08-09 10:57:04,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8360,40.810334000000005,-73.951553,W 125 ST/FRED DOUGLASS BL,at stop,7.0,2017-08-09 10:57:36,10:53:26,10:53:26,10:57:36,0 days 00:04:10.000000000,5
2017-08-09 14:17:24,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4223,40.810359000000005,-73.951614,W 125 ST/FRED DOUGLASS BL,at stop,1.0,2017-08-09 14:17:29,14:18:01,14:18:01,14:17:29,-1 days +23:59:28.000000000,0
2017-08-09 17:27:52,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8391,40.810352,-73.95159699999999,W 125 ST/FRED DOUGLASS BL,at stop,3.0,2017-08-09 17:28:06,17:27:49,17:27:49,17:28:06,0 days 00:00:17.000000000,1
2017-08-09 20:57:31,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4388,40.810367,-73.95163199999999,W 125 ST/FRED DOUGLASS BL,at stop,0.0,2017-08-09 20:57:39,20:59:16,20:59:16,20:57:39,-1 days +23:58:23.000000000,-1
2017-08-10 09:38:23,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4367,40.810359000000005,-73.951612,W 125 ST/FRED DOUGLASS BL,at stop,1.0,2017-08-10 09:38:34,09:35:26,09:35:26,09:38:34,0 days 00:03:08.000000000,4
2017-08-10 18:29:02,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8369,40.810328000000005,-73.951538,W 125 ST/FRED DOUGLASS BL,at stop,8.0,2017-08-10 18:29:10,18:27:14,18:27:14,18:29:10,0 days 00:01:56.000000000,2
2017-08-11 13:20:29,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4362,40.810292,-73.951451,W 125 ST/FRED DOUGLASS BL,at stop,17.0,2017-08-11 13:21:09,13:14:01,13:14:01,13:21:09,0 days 00:07:08.000000000,8
